Comment Date,Comment,Published To
06/24/2024,We had a wonderful experience at Crosstown Grill! The service was amazing and the food was great!,None
06/24/2024,"Everything was great! Staff is always nice. Love the atmosphere. Smashburger was a pinch dry, but still tasty.",None
06/22/2024,"Great food, great service and reasonably truck price",None
06/22/2024,Waitress was excellent and food Awesome,None
06/22/2024,Best Ruben sandwich in town.,None
06/21/2024,Excellent Server,None
06/21/2024,Great service and atmosphere!!,None
06/21/2024,Great service.,None
06/19/2024,"We always enjoy the food and look forward to it being consistent. 
We would prefer that our dishes were removed as soon as we are finished.",None
06/19/2024,Food was excellent. Only negative issues were it took a long time to have a server come to our table and a long time to receive our order.,None
06/18/2024,We really enjoyed having Lilly as our server!! She is an Outstanding Addition to the the pub Team!! And as always the Food was Excellent!!,None
06/17/2024,A new waitress and she was great!  Lo,None
06/17/2024,New chicken on bun was excellent. Mac and Cheese was just average. Need to improve. Very watery,None
06/17/2024,"The ambience, the friendly people and the great food.",None
06/15/2024,ordered medium steak tips but got it well done. the order was fixed,None
06/15/2024,"Love the crew and the food
The service is awesome 
And Jen makes the best watermelon margaritas!!!!",None
06/15/2024,"It was an absolute disaster trying to pay our bill last night. We told the server from the start that we were two checks- it didn't happen. They also put two drinks on our friends bill and she only had one. The bill was combined and it was a ridiculous process to get it straightened out. What should have been a 5 minute checkout turned into 45 minutes for us to pay &leave. Husband paid on the QR code and we were notified by Amex that it processed only to be told that it did not by the server. They tried to put it on us that we didnt tell them- yes we did.  By the end, I was pretty mad. I didnt need to be told several times by the manager ""i understand"" when I was asking why it was taking so long and the bill trying to be sorted out and entered in your system correctly. I let my husband deal with it. There are too many places in this town to eat who manage to get the bill correct the first time. This isnt the first time we or our friends  have had bill issues there. Typically it is a quick fix but last night was beyond ridiculous. Currently we have THREE pending payments from last night. This is unacceptable.",None
06/14/2024,We have liked coming here since we moved to GA … today the fries did taste different maybe cooked differently and prices were higher ..a new menu today .. The Service is excellent as always …. Very friendly and attentive…. Enjoy coming here !!,None
06/14/2024,Always fun,None
06/13/2024,"Our waitress was very helpful. When my husband’s wine glass came looking dirty, she was very apologetic and quickly replaced it with a fresh glass. 
Our food was got and fresh. I had grilled salmon and it was cooked perfectly.",None
06/13/2024,"Friendly staff! As soon as we walked in the door we were greeted with smiles, which makes such a difference when you've had a hard day at work. Paige, our server, was great. Service was quick and the food was delicious! Thank you. :)",None
06/12/2024,The bartender needs a little help.  She never stopped and that makes people eating at the bar have to wait.,None
06/12/2024,Food was excellent. A little under staffed so drinks were not refilled until after the meal had been eaten. Will definitely go back though.,None
06/12/2024,Really enjoyed the bangers and mash. Would be nice if you had a bread basket. Maybe add some new desserts once in a while.,None
06/11/2024,Fish is always great!,None
06/10/2024,"Food and service were great! Our server actually told us more details about the rewards program. She was very helpful. 
My husband and I enjoy eating here so much!",None
06/10/2024,I always enjoy the food and atmosphere of the restaurant. Everything is always as good as was before. The only thing I'd like improved is to bring back the amazing nachos ??,None
06/10/2024,Always great friendly service and amazing food! Only thing we missed was our caramel cheesecake!,None
06/09/2024,nice friendly service,None
06/09/2024,"The food tasted good and the portions were appropriate.  Juleus was attentive.  The restaurant was mostly empty when we arrived, but we had to wait about 10 minutes to be seated.  I assume this was a function of a small wait staff, but the optics for you were not good.",None
06/09/2024,The service was amazing especially considering there were only two people waiting tables and two cooks in the back. We had a party of 9 and got in and out in an hour and forty five minutes.,None
06/09/2024,Great Corned beef!,None
06/09/2024,Everything was great. We have been coming to Maguires for years and I've never had a bad meal. Today we chose a bunch of appetizers and they were all fantastic. The wings are some of the best I've had and the hotyaki flavor is out of this world. No complaints.,None
06/09/2024,Our golf group meets from time to time to have a few beers---that was the situation this time.  But the beer selction is now better than ever!,None
06/09/2024,Everyone we engaged with were very accommodating and helpful. The table was cleaned immediately prior to our sitting down. The booths are large and feel private. On the way to our booth we passed an area set up ready for a large party. The chairs were turned at an angle which made the whole set up look inviting,None
06/08/2024,I ordered the Margarita Salad and it was well prepared and delicious.,None
06/07/2024,Excellent staff,None
06/06/2024,"I held my retirement party in the large room and was very pleased! Collin and Jean were very helpful with choosing a menu and the table arrangements. Our server was very attentive and friendly! Most importantly, the food was delicious! I highly recommend for a special occasion!",None
06/05/2024,My food was very good and service was excellent . The 10% off for cash was a pleasant surprise .,None
06/05/2024,"Everything was great, great food at a decent price is hard to find these days!",None
06/04/2024,"Customer service was great, we had a trainee being shadowed by another. Prompt, service. Great food.",None
06/04/2024,"Lola was an attentive server, happy hour was a fun treat and our fish & chips were delicious, as always!",None
06/04/2024,Staff is always pleasant.  Food is below average.  I go for the atmosphere and staff.  Definitely not the food.,None
06/03/2024,Love the delicious food and the overall atmosphere!,None
06/03/2024,Great service and excellent food,None
06/02/2024,"Service was great, most of the food was excellent. Two people in my party of eight ordered the Steak and Guinness Pie which I believe would have been great if it had not been cold. Did not want to complain because this was the first time in many visits that we have had an issue. Otherwise, it was a most enjoyable time with my family.",None
06/01/2024,Waiter was not very friendly and food was not really good. The manager did come over and comped us the meal and was very nice and responsive to our needs.,None
05/31/2024,Food and service was amazing. Beer selection was ok. I saw that they rotated so looking forward to see a different selection next time.  Maybe WiFi as we couldn’t get a text out to tell our friends where to meet us.,None
05/30/2024,I love the fish and chips. I order it every time I come and it never disappoints.. I would just like a little more coleslaw… lol,None
05/30/2024,My kettle chips were so over cooked I couldn’t eat them.  And they were the crumbs from the bottom of the batch.  They made more for me but I was finished with my fish when they came.  Also server never mentioned drink specials.,None
05/30/2024,"The Reuben was packed with mear and delicious, the wrap that was order was full of lettuce and little meat.",None
05/29/2024,Love the vibe of the restaurant and the food is great,None
05/28/2024,Love that the staff always remembers us and the quality of the food is very consistent!,None
05/27/2024,"Very busy, regardless of service and food where great!",None
05/26/2024,"I think in a restaurant, all the food should be made fresh. Pretzel rods should be made in your kitchen. Mushrooms for mushrooms and onions should be chopped in your kitchen, not poured from a can.",None
05/26/2024,"Great food and friendly, professional staff.",None
05/26/2024,Everything is always very clean and well planned out. Rob and crew always are quite welcoming.,None
05/25/2024,"Good food, good service.  Thanks!",None
05/25/2024,Friendliness of the staff,None
05/25/2024,Mel and Will are always friendly!  Even when it got busy they handled things like champs!,None
05/25/2024,Bartender was slow,None
05/24/2024,Everything and everyone was great!!,None
05/24/2024,"Quality service
Friendly staff
It would be really nice if you changed up the appetizer/bar food choices. 
Your potato soup is great (on the rare occasions you have it). Please serve it more often.
The desert menu says ask your server for the seasonal item and much of the time we are told we don’t have one at this time.",None
05/24/2024,"We had quite the experience. the food was awesome, the staff was great. Our server, accidently spilled 2 full glasses of water, she felt so bad and we reassured her we have all done things like this, It was really NO big deal at all. Her name was CA. She was an outstanding server and was very attentive. Accidents happen, it was only water. Please reassure her. She did great!",None
05/24/2024,"Our table had the Piggly Wigley special, Salmon, Brussels Sprouts,all delicious!  Server was excellent!",None
05/24/2024,Never a bad visit. Food is always spot on. Staff is always friendly,None
05/23/2024,Attentive service,None
05/23/2024,"Our server was great. Courteous, and happy to answer any and all questions. Tried the Irish Grilled Cheese sandwich. Outstanding.",None
05/23/2024,"Great Irish Pub Atmosphere complete with Irish music. Friendly and attentive wait staff, and a super selection of delicious appetizers and entrees.",None
05/22/2024,Tony and I love Maguire’s!!!!  It is our favorite place to go in Senoia!!!!  When we are in Peachtree City we always go to Crosstown!!!!!,None
05/21/2024,Freshness of food and staff!,None
05/21/2024,Our food was great as always and the service was amazing. One recommendation is to reduce the 10% credit card fee. It's pretty extreme since most fees are actually much less than that to the business.,None
05/21/2024,"No host at check in for 5 minutes and not busy. 
Waiter was hard to find even though not busy.
Food was over cooked",None
05/21/2024,Bacon jam smash burger was awesome! Great service and reasonable prices.,None
05/20/2024,Had the Ruben sandwich it was just ok. A little dry.,None
05/20/2024,"Greeted by staff upon arrival, great food as always and enjoyed the atmosphere.  Can't wait to return.",None
05/19/2024,"We ordered the Capri salad, but was disappointed. Tomato slices were too thin, and there was more mozzarella cheese than tomato. Disappointing. 

Secondly, I ordered gin martini and was shocked when I received the bill of $18 per drink. This is significantly more than I have paid for same drink at any local establishment…or had any establishment I have ever dined. 

I was going to raise the issue with the bar tender, but suspect she was just charging what she had been told to charge.

I suggest you revisit your price structure on this product. I will never order it again here, and I will be sure to check prices for mixed drinks before ordering here in future. I feel I have been taken advantage here, and left very bad taste in my mouth.",None
05/18/2024,"Everything was excellent from start to finish. Jean was amazing to work with. She knew exaclty what we were looking for and was so easy to work with. The food was great! And, our servers were amazing! They were so attentive. I've already recommended Crosstown Grille to friends for future parties.",None
05/18/2024,Sat at the bar. Jen is great!,None
05/17/2024,Great food and atmosphere.  Never could get the WiFi password to work,None
05/17/2024,Always pleasant and efficient service and good food.,None
05/16/2024,"As always, the food was excellent and great service",None
05/15/2024,Food excellent. Great atmosphere,None
05/14/2024,Such a nice place to eat. The Irish theme is great. Our server is great and so nice. The food here is delicious.,None
05/14/2024,Outside tables and patio could use some good cleaning,None
05/12/2024,Good food as always,None
05/12/2024,"We came for the Easter buffet & again on Mother’s Day.  It was delicious!  The service was great also!
5*****",None
05/12/2024,Fast service & great food!,None
05/11/2024,Not charging for side of ranch dressing. Kids portion meals charging 4 star prices.,None
05/11/2024,We reserved the wine room for our daughter's college graduation dinner. Everything went very smoothly and the staff was excellent. Juleus was very kind and helpful. Thank you Crosstown Grille for helping us celebrate our daughter's milestone.,None
05/11/2024,"Our party of 6 were very appreciative of the service provided by all the wait staff who assisted us. Of special note was our server, Jalen, who was polite, efficient, courteous. He was very professional.",None
05/10/2024,Great food and service,None
05/10/2024,Love visiting with Jen and Shari and watching interactions with them and customers always polite and friendly they’re the best,None
05/10/2024,"Generally we give exceptional ratings when we visit Crosstown Grill.  Today we sat for 15 minutes and finally went to find someone to service our table as the internal order app did not work.  To be fair, you were very busy.  The mustard was empty at our table, I handed it to another server but she never brought another one back and we had to go get one at another table so that we could eat our meal.  Also, after we finished our meal and waited a while we had to get the server so that we could pay the check.  I know the systems were having a problem but this was unusual.",None
05/10/2024,Excellent and friendly service. We know we can expect a wonderful meal when we dine at Maguire’s.,None
05/07/2024,Paige was excellent!,None
05/05/2024,service was great,None
05/04/2024,"Another great dinner tonight at Crosstown Grille in Peachtree City!  We had family visiting from out of state and wanted a casual atmosphere with delicious food, so we decided on Crosstown Grille. We started with the hot, fresh soft pretzels with their signature mustard, as well as some of their warm cheese dip. Delicious! For the main course, four of the six chose a variety of amazing burgers, one selected the Reuben, and I had their delicious meat loaf! Prices are so reasonable! Our server, Savannah, was amazing, and deserves a raise! The hostess, Campbell, was so friendly and made us feel so welcome. She deserves a raise too! Highly recommend everyone try Crosstown Grille for their next meal out!",None
05/04/2024,Friendly wait staff told us about lunch specials. We didn’t know that there was a lunch menu. We will come back for lunch!,None
05/03/2024,"The great atmosphere is always welcoming. The staff is amazing and very knowledgeable from the hostess to the servers to the bar tenders to the patrons that regularly frequent the establishment. Crosstown Grill is like the modern day ""Cheers"" where everyone knows your name and enjoy the company and daily experiences we all bring to the restaurant and bar.",None
05/03/2024,"It was a good date night, good food, good server.",None
05/03/2024,wait staff is excellent,None
05/03/2024,Gavin was an outstanding and attentive waiter. We had a wonderful dinner!!!,None
05/03/2024,Melony did a great job bartending!,None
05/02/2024,"The staff and the food are always fantastic! Friendly people that always greet us, and haven’t had a dish we did not absolutely enjoy.  

Paige always remembers our names, makes us feel always welcomed!",None
05/02/2024,Great ambience. A hidden Gem. No improvements at this time.,None
05/01/2024,The service was fast and the staff is always friendly. The food is fresh and hot!!!,None
04/30/2024,Service and food was excellent. Always a great place to come with family.,None
04/30/2024,"Great service, great food, can’t go wrong here!",None
04/29/2024,Melanie did a great job!,None
04/29/2024,"Friendly staff, great menu and specials.",None
04/29/2024,"As I have written in previous reviews, Maguires is one of our top 5 restaurants to visit. We have never experienced anything other that excellent service, great food served in a fantastic atmosphere. You must try the French onion soup along with your main course. Looking forward to our next visit.",None
04/29/2024,"It was nice to see happy staff again and the food was very enjoyable along with the selections.  We did notice that the music had changed to soft rock and not the Irish folk, maybe try to have it back.",None
04/28/2024,Awesome good as always,None
04/28/2024,Fantastic service tonite by Jaron. The food was excellent.,None
04/28/2024,"Always friendly and helpful no matter jow busy!
Love McGuires!",None
04/27/2024,"Some of the best food we’ve had in a while. The meatloaf was great, the fish and chips was excellent. Kids loved the chicken tenders. Would love to see lunch specials. We would probably come back for frequently.",None
04/27/2024,The bartender can get overwhelmed.  The staff can spend too much time talking to each other while customers wait to place orders or receive food & drink,None
04/26/2024,We like the atmosphere and the Irish music,None
04/26/2024,We came at Happy Hour and half price beers on a Thursday if you are a V.I.P member! We had the Rueben rolls as a starter and I had their Bourbon glazed Salmon and my husband had Braised short rib. All very good. I had two glasses of chardonnay and my husband had two beers.,None
04/25/2024,"At Crosstown we can watch the braves baseball games on nice big tvs. But we live in Senoia and like McGuires, but you don’t have the Braves channel. It would be nice to watch Americas favorite pastime there.",None
04/24/2024,Everything is awesome.  Everything is cool when you’re part of a team.,None
04/24/2024,"Excellent service, the food was delicious. Our food arrived hot, and not a morsel was left on our plates . I rarely get a chance to go out to dinner. I can always rely on McGuires to provide good satisfying hot meals. Can’t think of anything that needs improving on . It was a great visit !",None
04/24/2024,It’s a very relaxing atmosphere.  Food was delicious.,None
04/24/2024,Our waiter was great!,None
04/23/2024,Sherie was very friendly and provided excellent service!  Food was very good.,None
04/22/2024,"Service was good.  Value for the quantity was poor. Ordered fish and chips.  Fish was VERY small for $21. Had waitress confirm this was appropriate, she verified.  Left restaurant to see another customer with a way bigger portion.  Management/staff not checking quality of plate… poor",None
04/22/2024,"Wasn't a big fan of the thick cut bacon, I prefer thin and crispy.",None
04/22/2024,Great service and the best fish and chips,None
04/21/2024,"Great service, really good food and great environment. No complaints. Keep up the good work!",None
04/21/2024,"Great atmosphere, cold beer and excellent appetizers",None
04/21/2024,Friendly service,None
04/21/2024,Yummy food!!,None
04/21/2024,Our waitress was very nice. Service was great.,None
04/20/2024,Excellent service and attention. Food was great,None
04/20/2024,Everything was great!,None
04/20/2024,Great food and atmosphere!,None
04/20/2024,Menu needs revamped. Same old boring menu. I suggest a weekly special. Say one week fresh fish the next a flank steak ext. ext. also pasta delicious. Something totally missing from your menu.,None
04/19/2024,The Cottage Pie was very good and the lady running the bar was very intertaining.,None
04/18/2024,Fast service and the food was great,None
04/18/2024,Meatloaf is my favorite and my wife tried the new special for steak tips and it was delicious.  Creunsha provided excellent service.,None
04/17/2024,"We enjoy Crosstown Grill, I order fish and chips most of the time and like I can ask for lite batter. Salads are great.",None
04/17/2024,Always love the food!!!!  It would be great if you had Wild Leap Strawberry Mango on tap!!!!!!!!!!!,None
04/17/2024,Always love visiting with Jen  and @ mcquires,None
04/17/2024,Food was cooked well service was excellent.  We will be back.,None
04/17/2024,"Best keep secret in PTC! Rob, Julius, Will, and every other staff we interacted with were genuinely interested in us enjoying ourselves. We all felt like we were dinning with our family! The food was extraordinary!!!",None
04/16/2024,The friendliest of staff for any restaurant in the area,None
04/16/2024,The food is always good. I wish you had better cell reception.,None
04/15/2024,Great Experience!,None
